,w2v100_lr,ft100_lr,tfidf12_5k_lr,tfidf13_5k_lr,tfidf_char35_5k_lr,tfidf12_3k_rf,tfidf12_2k_svc,tfidf12_3k_xgb
w2v100_lr,1.0,0.6624594924316738,0.6050483574830352,0.6013711638081318,0.6093034421558498,0.5915123701948919,0.5894171495731377,0.549298955186732
ft100_lr,0.6624594924316738,1.0,0.5679093180019139,0.5360687107575931,0.613177834704218,0.5547075943123517,0.5608981042219461,0.511186981513601
tfidf12_5k_lr,0.6050483574830352,0.5679093180019139,1.0,0.9280215959228124,0.7006032805274985,0.6945873397445846,0.8264515764468798,0.7138863735087456
tfidf13_5k_lr,0.6013711638081318,0.5360687107575931,0.9280215959228124,1.0,0.6837732570019723,0.6829576311798651,0.814809892185709,0.7152259353972767
tfidf_char35_5k_lr,0.6093034421558498,0.613177834704218,0.7006032805274985,0.6837732570019723,1.0,0.6115300063865693,0.6629305207987478,0.6233489725673312
tfidf12_3k_rf,0.5915123701948919,0.5547075943123517,0.6945873397445846,0.6829576311798651,0.6115300063865693,1.0,0.7580399683126656,0.7402656584463569
tfidf12_2k_svc,0.5894171495731377,0.5608981042219461,0.8264515764468798,0.814809892185709,0.6629305207987478,0.7580399683126656,1.0,0.7365055127716965
tfidf12_3k_xgb,0.549298955186732,0.511186981513601,0.7138863735087456,0.7152259353972767,0.6233489725673312,0.7402656584463569,0.7365055127716965,1.0
